Oblast;Misto_odberu;;Group2;Group32;Jednotka;Group33;Hodnota;Počet_hodnot_OUT2;Počet_hodnot_IN3;Počet_hodnot3;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;pach;Neurčená jednotka;23.10.2023;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;pH;Neurčená jednotka;23.10.2023;7,3;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;počty kolonií při 22 °C;KTJ/ml;23.10.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;počty kolonií při 36 °C;KTJ/ml;23.10.2023;2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;teplota;°C;23.10.2023;10,5;0;;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;zákal;ZF(n);23.10.2023;0,78;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;železo;mg/l;23.10.2023;0,04;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;;;;;;;;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;barva;mg/l Pt;27.3.2023;2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;Clostridium perfringens;KTJ (MPN)/100 ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;dusitany;mg/l;27.3.2023;0,014;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;Escherichia coli;KTJ (MPN)/100 ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;CHSK-Mn;mg/l;27.3.2023;0,5;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;chuť;Neurčená jednotka;27.3.2023;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;intestinální enterokoky;KTJ (MPN)/100 ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;koliformní bakterie;KTJ (MPN)/100 ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;MO - abioseston;procenta;27.3.2023;1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;MO - počet organismů;jedinci/ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;MO - živé organismy;jedinci/ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;pach;Neurčená jednotka;27.3.2023;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;pH;Neurčená jednotka;27.3.2023;7,2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;počty kolonií při 22 °C;KTJ/ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;počty kolonií při 36 °C;KTJ/ml;27.3.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;teplota;°C;27.3.2023;7,9;0;;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;zákal;ZF(n);27.3.2023;0,5;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;železo;mg/l;27.3.2023;0,04;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI00000124901236252;;;;;;;;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;amonné ionty;mg/l;23.7.2024;0,06;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;barva;mg/l Pt;23.7.2024;2;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;dusičnany;mg/l;23.7.2024;21,7;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;dusičnany a dusitany;mg/l;23.7.2024;0,43;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;dusitany;mg/l;23.7.2024;0,014;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;Escherichia coli;KTJ (MPN)/100 ml;23.7.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;chlor volný;mg/l;23.7.2024;0,13;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;CHSK-Mn;mg/l;23.7.2024;0,7;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;chuť;Neurčená jednotka;23.7.2024;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;intestinální enterokoky;KTJ (MPN)/100 ml;23.7.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;koliformní bakterie;KTJ (MPN)/100 ml;23.7.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;konduktivita;mS/m;23.7.2024;59,1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;mangan;mg/l;23.7.2024;0,04;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;MO - abioseston;procenta;23.7.2024;1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;MO - počet organismů;jedinci/ml;23.7.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;MO - živé organismy;jedinci/ml;23.7.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;pach;Neurčená jednotka;23.7.2024;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;pH;Neurčená jednotka;23.7.2024;7,4;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;počty kolonií při 22 °C;KTJ/ml;23.7.2024;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012415225;počty kolonií při 36 °C;KTJ/ml;23.7.2024;0;0;1;1;;;;;
