Collection_point,Longitude,Latitude,District_name,Region_name
Kunštát - Touboř,16.4952839,49.4928701,Blansko,Jihomoravský kraj
Trstěnice,16.348747,49.7941402,Svitavy,Pardubický kraj
Tvořihráz,16.1357753,48.9175487,Znojmo,Jihomoravský kraj
Uhřice,16.735005,49.5950652,Blansko,Jihomoravský kraj
Újezd u Boskovic,16.6541632,49.4638989,Blansko,Jihomoravský kraj
Unín,16.49508940790433,49.3854534,Brno-venkov,Jihomoravský kraj
Úsobrno,16.7628827,49.5889245,Blansko,Jihomoravský kraj
Valchov,16.719709,49.4702817,Blansko,Jihomoravský kraj
Valtrovice,16.2210549,48.7936504,Znojmo,Jihomoravský kraj
Vedrovice,16.3770785,49.0202855,Znojmo,Jihomoravský kraj
Veselí u Lomnice,16.3888267,49.4042295,Brno-venkov,Jihomoravský kraj
Veverské Knínice,16.4018268,49.2368966,Brno-venkov,Jihomoravský kraj
Višňové,18.7789823,49.1632839,,
Hroznová Lhota,17.4169732,48.9078412,Hodonín,Jihomoravský kraj
Kněždub,17.3954635,48.8866619,Hodonín,Jihomoravský kraj
Heršpice,16.9135619,49.1197695,Vyškov,Jihomoravský kraj
Ježkovice na Moravě,16.88574405330824,49.30635445,Vyškov,Jihomoravský kraj
Orlovice,17.0936678,49.2392192,Vyškov,Jihomoravský kraj
Pravlov,16.4876812,49.0556789,Brno-venkov,Jihomoravský kraj
Radostice,16.4770079,49.1336068,Brno-venkov,Jihomoravský kraj
Silůvky,16.4679353,49.1059745,Brno-venkov,Jihomoravský kraj
Snovídky,17.1065438,49.1325405,Vyškov,Jihomoravský kraj
Studnice,15.9029153,49.7379577,Chrudim,Pardubický kraj
Suchov,17.5634524,48.9074227,Hodonín,Jihomoravský kraj
Vohančice,16.3938553,49.3215917,Brno-venkov,Jihomoravský kraj
Štítary,15.8442861,48.9351007,Znojmo,Jihomoravský kraj
Vrbovec,16.4181159,45.8856479,,
Zhoř u Rohozce,16.478145010969392,49.418171,Brno-venkov,Jihomoravský kraj
Znojmo,16.0489457,48.8554341,Znojmo,Jihomoravský kraj
Žernovník,16.5455472,49.4071517,Blansko,Jihomoravský kraj
Žerotice,16.1687444,48.92671,Znojmo,Jihomoravský kraj
Žerůtky,15.9630924,48.9059037,Znojmo,Jihomoravský kraj
